 code;name;lat;lng;
 1801;Acri;39.30;16.25;
 1802;Amantea;39.30;16.25;
 1803;Belvedere Marittimo;39.30;16.25;
 1804;Cariati;39.30;16.25;
 1805;Cassano All'ionio;39.30;16.25;
 1806;Castrovillari;39.30;16.25;
 1807;Cetraro;39.30;16.25;
 1808;Corigliano Calabro;39.30;16.25;
 1809;Cosenza;39.30;16.25;
 1810;Mormanno;39.30;16.25;
 1811;Paola;39.30;16.25;
 1812;Praia A Mare;39.30;16.25;
 1813;Rossano;39.30;16.25;
 1814;San Giovanni In Fiore;39.30;16.25;
 1815;San Marco Argentano;39.30;16.25;
 1816;Scalea;39.30;16.25;
 1817;Catanzaro;39.30;16.25;
 1818;Chiaravalle Centrale;39.30;16.25;
 1819;Sellia Marina;39.30;16.25;
 1820;Soverato;39.30;16.25;
 1821;Lamezia Terme;39.30;16.25;
 1822;Bianco;39.30;16.25;
 1823;Bovalino;39.30;16.25;
 1824;Delianuova;39.30;16.25;
 1825;Gioia Tauro;39.30;16.25;
 1826;Locri;39.30;16.25;
 1827;Marina Di Gioiosa Ionica;39.30;16.25;
 1828;Melito Di Porto Salvo;39.30;16.25;
 1829;Oppido Mamertina;39.30;16.25;
 1830;Polistena;39.30;16.25;
 1831;Reggio Di Calabria;39.30;16.25;
 1832;Roccella Ionica;39.30;16.25;
 1833;Rosarno;39.30;16.25;
 1834;Sant'eufemia D'aspromonte;39.30;16.25;
 1835;Stilo;39.30;16.25;
 1836;Taurianova;39.30;16.25;
 1837;Cirò Marina;39.30;16.25;
 1838;Crotone;39.30;16.25;
 1839;Mesoraca;39.30;16.25;
 1840;Petilia Policastro;39.30;16.25;
 1841;Serra San Bruno;39.30;16.25;
 1842;Soriano Calabro;39.30;16.25;
 1843;Tropea;39.30;16.25;
 1844;Vibo Valentia;39.30;16.25;
 1845;Nova Siri;39.30;16.25;
